iter	Passed	Remaining
0	2	458
1	3	393
2	6	419
3	8	422
4	10	410
5	12	394
6	13	360
7	13	332
8	14	307
9	15	285
10	15	267
11	16	252
12	16	242
13	17	230
14	17	219
15	18	210
16	18	202
17	19	195
18	19	188
19	20	182
20	20	175
21	21	170
22	21	165
23	21	160
24	22	156
25	22	152
26	23	148
27	23	146
28	24	143
29	24	140
30	25	138
31	25	136
32	26	133
33	26	130
34	27	128
35	27	125
36	28	123
37	28	121
38	28	119
39	29	117
40	29	115
41	30	114
42	30	112
43	31	110
44	31	109
45	32	107
46	32	106
47	33	104
48	33	103
49	33	101
50	34	100
51	34	98
52	35	97
53	35	96
54	36	94
55	36	93
56	37	92
57	37	91
58	37	90
59	38	89
60	38	88
61	39	87
62	39	86
63	40	85
64	40	84
65	41	83
66	41	82
67	41	81
68	42	80
69	42	79
70	43	78
71	43	77
72	43	76
73	44	75
74	44	74
75	45	73
76	45	72
77	45	71
78	46	70
79	46	69
80	47	69
81	47	68
82	47	67
83	48	66
84	48	65
85	48	64
86	49	64
87	49	63
88	50	62
89	50	61
90	51	61
91	51	60
92	51	59
93	52	58
94	52	58
95	53	57
96	53	56
97	53	56
98	54	55
99	54	54
100	55	54
101	55	53
102	56	52
103	56	52
104	56	51
105	57	50
106	57	50
107	58	49
108	58	48
109	59	48
110	59	47
111	59	47
112	60	46
113	60	45
114	61	45
115	61	44
116	62	44
117	62	43
118	63	42
119	63	42
120	64	41
121	64	41
122	65	40
123	65	40
124	66	39
125	66	39
126	67	38
127	67	38
128	68	37
129	68	37
130	69	36
131	69	35
132	70	35
133	70	34
134	71	34
135	71	33
136	72	33
137	73	32
138	73	32
139	74	31
140	74	31
141	75	30
142	75	30
143	76	29
144	76	29
145	77	28
146	77	27
147	78	27
148	78	26
149	79	26
150	79	25
151	80	25
152	81	25
153	81	24
154	82	23
155	82	23
156	83	22
157	84	22
158	84	21
159	84	21
160	85	20
161	86	20
162	86	19
163	86	19
164	87	18
165	87	17
166	88	17
167	88	16
168	89	16
169	89	15
170	89	15
171	90	14
172	91	14
173	91	13
174	92	13
175	92	12
176	93	12
177	94	11
178	94	11
179	94	10
180	95	10
181	95	9
182	96	8
183	96	8
184	97	7
185	97	7
186	97	6
187	98	6
188	98	5
189	98	5
190	99	4
191	99	4
192	100	3
193	101	3
194	101	2
195	102	2
196	102	1
197	103	1
198	103	0
199	103	0
